时,分,类型,阳台,客厅,卧室,备注
0,0,报时,0,1,0,无
6,0,报时,0,1,1,无
7,0,报时,1,1,1,无
8,0,报时,1,1,1,无
9,0,报时,1,1,1,无
10,0,报时,1,1,1,无
11,0,报时,1,1,1,无
12,0,报时,1,1,1,无
13,0,报时,0,1,0,无
14,0,报时,0,1,0,无
15,0,报时,1,1,1,无
16,0,报时,1,1,1,无
17,0,报时,1,1,1,无
18,0,报时,1,1,1,无
19,0,报时,1,1,1,无
20,0,报时,1,1,1,无
21,0,报时,1,1,1,无
22,0,报时,0,1,0,无
23,0,报时,0,1,0,无
6,0,放歌,0,1,1,准备早餐
6,30,放歌,1,1,1,早餐
7,30,放歌,1,1,1,娱乐
8,10,放歌,1,1,1,煮稀饭
8,30,放歌,1,1,1,上床休息
9,30,放歌,1,1,1,分餐
9,45,放歌,1,1,1,加餐
10,30,放歌,1,1,1,练功
11,30,放歌,1,1,1,准备午餐
12,0,放歌,1,1,1,午餐
12,45,放歌,1,1,1,娱乐
13,15,放歌,1,1,1,午睡
14,15,放歌,0,1,1,起床
14,45,放歌,1,1,1,准备加餐
15,0,放歌,1,1,1,加餐
16,0,放歌,1,1,1,练功
17,0,放歌,1,1,1,上床休息
17,30,放歌,1,1,1,准备晚餐
18,0,放歌,1,1,1,晚餐
19,30,放歌,1,1,1,练功
20,0,放歌,1,1,1,上床休息
21,0,放歌,1,1,1,加餐
21,45,放歌,1,1,1,填食谱说晚安
22,0,放歌,1,1,1,睡觉
